"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal"
"93744","Percentage of the total resident population who are 0-4 years of age","","","E92000001","England","England","Persons","0-4 yrs","","","2019","5.862169393014486","","","","","3299637","56286961","","","","","20190000","",""
"93744","Percentage of the total resident population who are 0-4 years of age","","","E09000019","Islington","Ward","Persons","0-4 yrs","","","2019","5.338458429394516","","","","","12944","242467","","","","","20190000","",""
"93744","Percentage of the total resident population who are 0-4 years of age","E09000019","Islington","E05000366","Barnsbury","Ward","Persons","0-4 yrs","","","2019","5.2761","","","","","730","13836","","","Middle quintile","2nd lowest quintile","20190000","",""
"93744","Percentage of the total resident population who are 0-4 years of age","E09000019","Islington","E05000367","Bunhill","Ward","Persons","0-4 yrs","","","2019","4.7864","","","","","941","19660","","","2nd lowest quintile","2nd lowest quintile","20190000","",""
"93744","Percentage of the total resident population who are 0-4 years of age","E09000019","Islington","E05000368","Caledonian","Ward","Persons","0-4 yrs","","","2019","4.8688","","","","","798","16390","","","2nd lowest quintile","2nd lowest quintile","20190000","",""
"93744","Percentage of the total resident population who are 0-4 years of age","E09000019","Islington","E05000369","Canonbury","Ward","Persons","0-4 yrs","","","2019","6.1849","","","","","808","13064","","","2nd highest quintile","Highest quintile","20190000","",""
"93744","Percentage of the total resident population who are 0-4 years of age","E09000019","Islington","E05000370","Clerkenwell","Ward","Persons","0-4 yrs","","","2019","3.9519","","","","","529","13386","","","Lowest quintile","Lowest quintile","20190000","",""
"93744","Percentage of the total resident population who are 0-4 years of age","E09000019","Islington","E05000371","Finsbury Park","Ward","Persons","0-4 yrs","","","2019","5.7722","","","","","1051","18208","","","2nd highest quintile","2nd highest quintile","20190000","",""
"93744","Percentage of the total resident population who are 0-4 years of age","E09000019","Islington","E05000372","Highbury East","Ward","Persons","0-4 yrs","","","2019","6.0384","","","","","824","13646","","","2nd highest quintile","2nd highest quintile","20190000","",""
"93744","Percentage of the total resident population who are 0-4 years of age","E09000019","Islington","E05000373","Highbury West","Ward","Persons","0-4 yrs","","","2019","6.2707","","","","","1194","19041","","","2nd highest quintile","Highest quintile","20190000","",""
"93744","Percentage of the total resident population who are 0-4 years of age","E09000019","Islington","E05000374","Hillrise","Ward","Persons","0-4 yrs","","","2019","6.3166","","","","","794","12570","","","2nd highest quintile","Highest quintile","20190000","",""
"93744","Percentage of the total resident population who are 0-4 years of age","E09000019","Islington","E05000375","Holloway","Ward","Persons","0-4 yrs","","","2019","4.2199","","","","","835","19787","","","2nd lowest quintile","Lowest quintile","20190000","",""
"93744","Percentage of the total resident population who are 0-4 years of age","E09000019","Islington","E05000376","Junction","Ward","Persons","0-4 yrs","","","2019","4.692","","","","","617","13150","","","2nd lowest quintile","Lowest quintile","20190000","",""
"93744","Percentage of the total resident population who are 0-4 years of age","E09000019","Islington","E05000377","Mildmay","Ward","Persons","0-4 yrs","","","2019","5.7336","","","","","830","14476","","","Middle quintile","Middle quintile","20190000","",""
"93744","Percentage of the total resident population who are 0-4 years of age","E09000019","Islington","E05000378","St George's","Ward","Persons","0-4 yrs","","","2019","5.5624","","","","","722","12980","","","Middle quintile","Middle quintile","20190000","",""
"93744","Percentage of the total resident population who are 0-4 years of age","E09000019","Islington","E05000379","St Mary's","Ward","Persons","0-4 yrs","","","2019","4.6041","","","","","624","13553","","","2nd lowest quintile","Lowest quintile","20190000","",""
"93744","Percentage of the total resident population who are 0-4 years of age","E09000019","Islington","E05000380","St Peter's","Ward","Persons","0-4 yrs","","","2019","5.5392","","","","","792","14298","","","Middle quintile","Middle quintile","20190000","",""
"93744","Percentage of the total resident population who are 0-4 years of age","E09000019","Islington","E05000381","Tollington","Ward","Persons","0-4 yrs","","","2019","5.9284","","","","","855","14422","","","2nd highest quintile","2nd highest quintile","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","","","E92000001","England","England","Persons","<16 yrs","","","2019/20","19.217024347788115","","","","","10816679","56286961","","","","","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","","","E09000019","Islington","Ward","Persons","<16 yrs","","","2019/20","15.858652930089455","","","","","38452","242467","","","","","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","E09000019","Islington","E05000366","Barnsbury","Ward","Persons","<16 yrs","","","2019/20","15.2862","","","","","2115","13836","","","Lowest quintile","2nd lowest quintile","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","E09000019","Islington","E05000367","Bunhill","Ward","Persons","<16 yrs","","","2019/20","13.6012","","","","","2674","19660","","","Lowest quintile","Lowest quintile","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","E09000019","Islington","E05000368","Caledonian","Ward","Persons","<16 yrs","","","2019/20","14.5333","","","","","2382","16390","","","Lowest quintile","2nd lowest quintile","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","E09000019","Islington","E05000369","Canonbury","Ward","Persons","<16 yrs","","","2019/20","16.9933","","","","","2220","13064","","","2nd lowest quintile","2nd highest quintile","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","E09000019","Islington","E05000370","Clerkenwell","Ward","Persons","<16 yrs","","","2019/20","11.5718","","","","","1549","13386","","","Lowest quintile","Lowest quintile","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","E09000019","Islington","E05000371","Finsbury Park","Ward","Persons","<16 yrs","","","2019/20","16.9156","","","","","3080","18208","","","2nd lowest quintile","Middle quintile","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","E09000019","Islington","E05000372","Highbury East","Ward","Persons","<16 yrs","","","2019/20","17.8954","","","","","2442","13646","","","Middle quintile","Highest quintile","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","E09000019","Islington","E05000373","Highbury West","Ward","Persons","<16 yrs","","","2019/20","17.2365","","","","","3282","19041","","","2nd lowest quintile","2nd highest quintile","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","E09000019","Islington","E05000374","Hillrise","Ward","Persons","<16 yrs","","","2019/20","19.7295","","","","","2480","12570","","","2nd highest quintile","Highest quintile","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","E09000019","Islington","E05000375","Holloway","Ward","Persons","<16 yrs","","","2019/20","13.7616","","","","","2723","19787","","","Lowest quintile","Lowest quintile","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","E09000019","Islington","E05000376","Junction","Ward","Persons","<16 yrs","","","2019/20","15.597","","","","","2051","13150","","","Lowest quintile","Middle quintile","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","E09000019","Islington","E05000377","Mildmay","Ward","Persons","<16 yrs","","","2019/20","17.9608","","","","","2600","14476","","","Middle quintile","Highest quintile","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","E09000019","Islington","E05000378","St George's","Ward","Persons","<16 yrs","","","2019/20","17.4807","","","","","2269","12980","","","2nd lowest quintile","2nd highest quintile","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","E09000019","Islington","E05000379","St Mary's","Ward","Persons","<16 yrs","","","2019/20","14.2551","","","","","1932","13553","","","Lowest quintile","Lowest quintile","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","E09000019","Islington","E05000380","St Peter's","Ward","Persons","<16 yrs","","","2019/20","15.0441","","","","","2151","14298","","","Lowest quintile","2nd lowest quintile","20190000","",""
"93084","Percentage of the total resident population who are 0-15 years of age","E09000019","Islington","E05000381","Tollington","Ward","Persons","<16 yrs","","","2019/20","17.3485","","","","","2502","14422","","","2nd lowest quintile","2nd highest quintile","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","","","E92000001","England","England","Persons","5-15 yrs","","","2019","13.354854954773629","","","","","7517042","56286961","","","","","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","","","E09000019","Islington","Ward","Persons","5-15 yrs","","","2019","10.52019450069494","","","","","25508","242467","","","","","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","E09000019","Islington","E05000366","Barnsbury","Ward","Persons","5-15 yrs","","","2019","10.0101","","","","","1385","13836","","","Lowest quintile","2nd lowest quintile","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","E09000019","Islington","E05000367","Bunhill","Ward","Persons","5-15 yrs","","","2019","8.8149","","","","","1733","19660","","","Lowest quintile","Lowest quintile","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","E09000019","Islington","E05000368","Caledonian","Ward","Persons","5-15 yrs","","","2019","9.6644","","","","","1584","16390","","","Lowest quintile","2nd lowest quintile","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","E09000019","Islington","E05000369","Canonbury","Ward","Persons","5-15 yrs","","","2019","10.8083","","","","","1412","13064","","","Lowest quintile","Middle quintile","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","E09000019","Islington","E05000370","Clerkenwell","Ward","Persons","5-15 yrs","","","2019","7.6199","","","","","1020","13386","","","Lowest quintile","Lowest quintile","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","E09000019","Islington","E05000371","Finsbury Park","Ward","Persons","5-15 yrs","","","2019","11.1435","","","","","2029","18208","","","Lowest quintile","2nd highest quintile","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","E09000019","Islington","E05000372","Highbury East","Ward","Persons","5-15 yrs","","","2019","11.857","","","","","1618","13646","","","2nd lowest quintile","2nd highest quintile","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","E09000019","Islington","E05000373","Highbury West","Ward","Persons","5-15 yrs","","","2019","10.9658","","","","","2088","19041","","","Lowest quintile","Middle quintile","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","E09000019","Islington","E05000374","Hillrise","Ward","Persons","5-15 yrs","","","2019","13.4129","","","","","1686","12570","","","Middle quintile","Highest quintile","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","E09000019","Islington","E05000375","Holloway","Ward","Persons","5-15 yrs","","","2019","9.5416","","","","","1888","19787","","","Lowest quintile","Lowest quintile","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","E09000019","Islington","E05000376","Junction","Ward","Persons","5-15 yrs","","","2019","10.9049","","","","","1434","13150","","","Lowest quintile","Middle quintile","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","E09000019","Islington","E05000377","Mildmay","Ward","Persons","5-15 yrs","","","2019","12.2271","","","","","1770","14476","","","2nd lowest quintile","Highest quintile","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","E09000019","Islington","E05000378","St George's","Ward","Persons","5-15 yrs","","","2019","11.9183","","","","","1547","12980","","","2nd lowest quintile","Highest quintile","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","E09000019","Islington","E05000379","St Mary's","Ward","Persons","5-15 yrs","","","2019","9.651","","","","","1308","13553","","","Lowest quintile","2nd lowest quintile","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","E09000019","Islington","E05000380","St Peter's","Ward","Persons","5-15 yrs","","","2019","9.5048","","","","","1359","14298","","","Lowest quintile","Lowest quintile","20190000","",""
"93745","Percentage of the total resident population who are 5-15 years of age","E09000019","Islington","E05000381","Tollington","Ward","Persons","5-15 yrs","","","2019","11.4201","","","","","1647","14422","","","2nd lowest quintile","2nd highest quintile","20190000","",""
